id,date,year,title,production,works,genre,place,author
100,1759-07-17T23:59:32Z,1759,Der Misogyne,[object Object],[object Object],Lustspiel,"Royal Danish Theatre, Kongens Nytorv",Gotthold Ephraim Lessing
1002,1750-03-31T23:59:32Z,1750,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1003,1750-04-02T23:59:32Z,1750,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1004,1750-04-21T23:59:32Z,1750,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1005,1750-05-19T23:59:32Z,1750,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1006,1750-09-08T23:59:32Z,1750,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1007,1751-10-05T23:59:32Z,1751,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1008,1751-11-04T23:59:32Z,1751,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1009,1754-02-04T23:59:32Z,1754,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
101,1759-11-29T23:59:32Z,1759,Der Misogyne,[object Object],[object Object],Lustspiel,"Royal Danish Theatre, Kongens Nytorv",Gotthold Ephraim Lessing
1010,1754-02-14T23:59:32Z,1754,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1011,1754-05-16T23:59:32Z,1754,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1012,1754-06-27T23:59:32Z,1754,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1013,1754-10-08T23:59:32Z,1754,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1014,1757-06-12T23:59:32Z,1757,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1015,1758-01-24T23:59:32Z,1758,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1016,1761-04-23T23:59:32Z,1761,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1017,1767-04-23T23:59:32Z,1767,Attendez-moi sous l'Orme,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean-François Regnard
1018,1760-10-16T23:59:32Z,1760,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1019,1760-10-19T23:59:32Z,1760,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
102,1763-04-19T23:59:32Z,1763,Der Misogyne,[object Object],[object Object],Lustspiel,"Royal Danish Theatre, Kongens Nytorv",Gotthold Ephraim Lessing
1020,1760-10-23T23:59:32Z,1760,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1021,1761-01-25T23:59:32Z,1761,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1022,1761-01-29T23:59:32Z,1761,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1023,1761-03-29T23:59:32Z,1761,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1024,1761-03-31T23:59:32Z,1761,Geniernes Fest,[object Object],[object Object],,"Royal Danish Theatre, Kongens Nytorv","Niels Prahl,Paolo Scalabrini,Antonio Como"
1025,1754-07-02T23:59:32Z,1754,Zeloïde,[object Object],[object Object],Tragedy,"Royal Danish Theatre, Kongens Nytorv",Germain-François Poullain de Saint-Foix
1026,1754-07-04T23:59:32Z,1754,Zeloïde,[object Object],[object Object],Tragedy,"Royal Danish Theatre, Kongens Nytorv",Germain-François Poullain de Saint-Foix
1027,1754-09-29T23:59:32Z,1754,Zeloïde,[object Object],[object Object],Tragedy,"Royal Danish Theatre, Kongens Nytorv",Germain-François Poullain de Saint-Foix
