EventId,Theatre,EventDate,Year,Month,Day,PerformanceTitle,PerformanceType,PerformanceId,WorkId,TCPId,ActCount,WorkTitle,AuthorId,AuthorName,TheatronomicsGenreId,TheatronomicsGenreLabel
32966,Drury Lane,17660106,1766,1,6,Merope,mainpiece,67537,2024,NULL,NULL,Merope,372,George Jeffreys,NULL,NULL
32966,Drury Lane,17660106,1766,1,6,"The Hermit; or, Harlequin at Rhodes",afterpiece,67538,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32967,Covent Garden,17660106,1766,1,6,King Richard III,mainpiece,67539,1403,NULL,NULL,The Tragical History of King Richard III,198,Colley Cibber,NULL,NULL
32967,Covent Garden,17660106,1766,1,6,Perseus and Andromeda,afterpiece,67540,3636,NULL,NULL,Perseus and Andromeda,256,Lewis Theobald,9,Pantomime
32969,Drury Lane,17660107,1766,1,7,Mahomet,mainpiece,67542,2306,NULL,NULL,Mahomet the Imposter,393,James Miller,13,Tragedy
32969,Drury Lane,17660107,1766,1,7,The Hermit,afterpiece,67543,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32970,Covent Garden,17660107,1766,1,7,The Maid Of The Mill,mainpiece,67544,291,K039360.000,3,The Maid of the Mill,501,Isaac Bickerstaffe,2,Comedy
32970,Covent Garden,17660107,1766,1,7,The Old Maid,afterpiece,67545,32,K020298.000,2,The Old Maid,486,Arthur Murphy,2,Comedy
32972,Drury Lane,17660108,1766,1,8,Cymbeline,mainpiece,67548,1351,A11954,,Cymbeline,10,William Shakespeare,11,Romance
32972,Drury Lane,17660108,1766,1,8,The Hermit,afterpiece,67549,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32973,Covent Garden,17660108,1766,1,8,The Busy Body,mainpiece,67550,1520,K009642.000,5,The Busie Body,222,Susanna Centlivre,2,Comedy
32973,Covent Garden,17660108,1766,1,8,Perseus and Andromeda,afterpiece,67551,3636,NULL,NULL,Perseus and Andromeda,256,Lewis Theobald,9,Pantomime
32974,Drury Lane,17660109,1766,1,9,"King Henry IV, Part I",mainpiece,67552,810,A11954,,"Henry the Fourth, Part I",10,William Shakespeare,NULL,NULL
32974,Drury Lane,17660109,1766,1,9,The Hermit,afterpiece,67553,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32975,Covent Garden,17660109,1766,1,9,The Double Mistake,mainpiece,67554,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32976,Drury Lane,17660110,1766,1,10,The Plain Dealer,mainpiece,67556,1037,A67202,5,The Plain Dealer,109,William Wycherley,2,Comedy
32976,Drury Lane,17660110,1766,1,10,The Hermit,afterpiece,67557,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32977,Covent Garden,17660110,1766,1,10,The Double Mistake,mainpiece,67558,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32978,Drury Lane,17660111,1766,1,11,King Lear,mainpiece,67559,1123,NULL,NULL,The History of King Lear,148,Nahum Tate,NULL,NULL
32978,Drury Lane,17660111,1766,1,11,The Hermit,afterpiece,67560,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32979,Covent Garden,17660111,1766,1,11,The Double Mistake,mainpiece,67561,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32981,Drury Lane,17660113,1766,1,13,Hamlet,mainpiece,67563,460,NULL,NULL,Hamlet ,263,Apostolo Zeno,NULL,NULL
32981,Drury Lane,17660113,1766,1,13,The Hermit,afterpiece,67564,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32982,Covent Garden,17660113,1766,1,13,The Double Mistake,mainpiece,67565,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32983,Drury Lane,17660114,1766,1,14,All In The Wrong,mainpiece,67566,30,K030424.000,5,All in the Wrong,486,Arthur Murphy,2,Comedy
32983,Drury Lane,17660114,1766,1,14,The Hermit,afterpiece,67567,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32984,Covent Garden,17660114,1766,1,14,The Double Mistake,mainpiece,67568,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32985,Drury Lane,17660115,1766,1,15,Mahomet,mainpiece,67570,2306,NULL,NULL,Mahomet the Imposter,393,James Miller,13,Tragedy
32985,Drury Lane,17660115,1766,1,15,The Hermit,afterpiece,67571,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
32986,Covent Garden,17660115,1766,1,15,The Double Mistake,mainpiece,67572,2544,K020909.000,5,The Double Mistake,508,Elizabeth Griffith,2,Comedy
32987,Drury Lane,17660116,1766,1,16,The Jealous Wife,mainpiece,67574,2488,NULL,NULL,The Jealous Wife,497,"George Colman, the elder",2,Comedy
32987,Drury Lane,17660116,1766,1,16,The Hermit,afterpiece,67575,2543,NULL,NULL,"The Hermit; or, Harlequin at Rhodes",512,James Love,9,Pantomime
