work,original_genre,grouped_genre,year
Abelino ou Le Grand Bandit De Venise,Comédie,Comedy,1811.0
Adélaide du Guesclin,tragédie,Tragedy,1810.0
"Adolph & Clara, ou Les deux prisonniers",Opéra,Opera,1806.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1806.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1806.0
"Adolph & Clara, ou Les deux prisonniers",,Opera,1807.0
"Adolph & Clara, ou Les deux prisonniers",Opéra,Opera,1807.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1807.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1808.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1808.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1808.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1809.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1809.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1810.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1811.0
Défiance et Malice,comédie,Comedy,1805.0
La Dot,opéra,Opera,1805.0
"Adolph & Clara, ou Les deux prisonniers",Opéra,Opera,1811.0
"Adolph & Clara, ou Les deux prisonniers",opéra,Opera,1812.0
Agnès Sorel ou la Belle des Belles,comédie héroïque,Opera-Vaudeville-Comedy,1810.0
Agnès Sorel ou la Belle des Belles,comédie héroïque,Opera-Vaudeville-Comedy,1810.0
Agnès Sorel ou la Belle des Belles,comédie héroïque,Opera-Vaudeville-Comedy,1811.0
Agnès Sorel ou la Belle des Belles,comédie héroïque,Opera-Vaudeville-Comedy,1811.0
"Agnès Sorel, ou la Belle des Belles",opéra vaudeville,Opera-Vaudeville-Comedy,1811.0
Alexis & Justine,opéra,Opera,1806.0
Alexis ou L'Erreur d'un bon Père,Opéra Nouveau,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,Opéra Nouveau,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,Opéra Nouveau,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,Opéra Nouveau,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,opéra,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,opéra,Opera,1808.0
Alexis ou L'Erreur d'un bon Père,opéra,Opera,1809.0
Alexis ou L'Erreur d'un bon Père,opéra,Opera,1809.0
Alexis ou L'Erreur d'un bon Père,Opéra,Opera,1811.0
"Alexis, ou L'Erreur d'un Bon Père",opéra,Opera,1811.0
Aline Reine de Golconde,opéra,Opera,1811.0
Aline Reine de Golconde,opéra,Opera,1811.0
Aline Reine de Golconde,Opéra,Opera,1811.0
Aline Reine de Golconde,opéra,Opera,1811.0
Aline Reine de Golconde,Opéra,Opera,1812.0
Allons voir le Tigre,comédie folie,Comedy,1811.0
Alzire ou Les Americans,tragédie,Tragedy,1808.0
"Alzire, ou Les Américains",tragédie,Tragedy,1811.0
Ambroise ou Voilà ma journée,opéra,Opera,1810.0
Ambroise ou Voilà ma journée,opéra,Opera,1810.0
Ambroise ou Voilà ma journée,Opéra,Opera,1811.0
"Ambroise, ou Voilà ma journée",opéra,Opera,1810.0
"Ambroise, ou Voilà ma journée",opéra,Opera,1811.0
Amour & Mystère ou Lequel est mon Cousin,comédie,Comedy,1808.0
Amour & Mystère ou Lequel est mon Cousin,Comédie nouvelle,Comedy,1808.0
Amours & des Nymphes ou Diane Vaincue Par Cupidon,grand ballet pantomime,Other,1808.0
Argent et adresse,comédie,Comedy,1806.0
Argent et adresse,Comédie,Comedy,1806.0
Argent et adresse,comédie,Comedy,1806.0
Argent et Adresse,comédie,Comedy,1807.0
Ariane Abandonnée dans l'Ile de Naxos,Opéra,Opera,1807.0
Ariane Abandonnée dans l'Ile de Naxos,Opéra,Opera,1807.0
Ariane Abandonnée dans l'Ile de Naxos,grand opéra,Opera,1808.0
Ariane Abandonnée dans l'ile de Naxos,grand opéra,Opera,1810.0
Arlequin afficheur,Vaudeville,Vaudeville,1807.0
Arlequin apprenti magicien,Pantomime,Other,1807.0
Arlequin bon père,Comédie,Comedy,1807.0
Arlequin bon père,comédie,Comedy,1811.0
Arlequin bon père,comédie,Comedy,1811.0
Auteur dans son ménage,comédie nouvelle,Comedy,1810.0
Azémia ou les Sauvages,opéra,Opera,1806.0
Azémia ou les Sauvages,Opéra,Opera,1807.0
Azémia ou les Sauvages,Opéra,Opera,1808.0
Azémia ou les Sauvages,opéra,Opera,1808.0
Azémia ou les Sauvages,opéra,Opera,1809.0
Azémia ou les Sauvages,opéra,Opera,1809.0
Azémia ou les Sauvages,opéra,Opera,1809.0
Azémia ou les Sauvages,opéra,Opera,1810.0
Azémia ou les Sauvages,opéra,Opera,1810.0
Azémia ou les Sauvages,opéra,Opera,1810.0
Azémia ou les Sauvages,opéra,Opera,1811.0
Babillard,comédie,Comedy,1809.0
Babillard,Comédie,Comedy,1809.0
Ballet des deux Chasseurs & la Laitière,,Other,1808.0
