Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
597,1806,3/15,Sat,,,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,3/16/1806,2,,Opéra,2,,,,,,,,,,,,,,,,,,,,,,,,,
638,1806,8/6,Wed,,,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,8/7/1806,2,,opéra,,,,,M. Douvillier,,Gouverneur,,,,,,,,,,,,,,,,,,,
680,1806,12/31,Wed,n,P2C1,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,1/1/1807,2,,opéra,,n,,,,,,,,,,,,,,,,,,,,,,,,
707,1807,4/4,Sat,n,P2C2,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,4/5/1807,2,,,,n,,,"M. Bouvillier, M. Ferrand, M. Drigny",n,"Commandant, Galpard","Douvillier indisposed; Ferrand will play the commandant, Drigny will play Gaspard",,,,,,,,,,,,,,,,,,
741,1807,8/1,Sat,n,P3C1,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,8/2/1807,2,,Opéra,1,n,,,,,,"listed as ""Adolphe & Clara ou Les Deux prisonniers""",,,,,,,,,,,,,,,,,,
773,1807,11/21,Sat,n,P3C4,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,11/22/1807,2,,opéra,,n,,musique de Daleyrac,Mlle. Fleury,n,Clara,"mentioned in a footnote, rather than a normal advertisement, also emphazises the return of ""Mlle. Febury""",,,,,,,,,,,,,,,,,,
787,1808,1/9,Sat,n,P3C1,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,1/10/1808,2,,opéra,1,n,,musique de Daleyrac,,,,"listed as ""Adolphe & Clara ou Les Deux prisonniers""",,,,,,,,,,,,,,,,,,
823,1808,5/14,Sat,n,"P3C1,P3C2","Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,5/15/1808,2,Marsollier,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
873,1808,11/5,Sat,n,P3C2,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,11/6/1808,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
915,1809,4/1,Sat,n,P3C3,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,4/2/1809,,,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
969,1809,10/7,Sat,n,P3C2,"Adolph & Clara, ou Les deux prisonniers",Saint-Pierre,10/8/1809,2,Marsollier,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1095,1810,12/20,Thurs,n,P3C1,"Adolph & Clara, ou Les deux prisonniers",Saint-Philippe,12/20/1810,2,,opéra,1,n,,musique de Daleyrac,Mr. Ferrand,n,Gaspard,"""dans laquelle M. Ferrand fera son premier début sur ce théâtre""",,,,,,,,,,,,,,,,,,
1147,1811,4/20,Sat,n,P3C2,"Adolph & Clara, ou Les deux prisonniers",Saint-Philippe,4/21/1811,3,,opéra,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
569,1805,12/7,Sat,,,Défiance et Malice,Saint-Pierre,12/8/1805,1,Dieulafoi,comédie,1,,,,,,,,,,,,,,,,,,,,,,,,,
569,1805,12/7,Sat,,,La Dot,Saint-Pierre,12/8/1805,2,,opéra,3,,,musique de Dalayrac,M. Douvillier,,Mathurin,,,,,,,,,,,,,,,,,,,
1231,1811,11/2,Sat,,P2C4,"Adolph & Clara, ou Les deux prisonniers",Saint-Philippe,11/3/1811,2,,Opéra,1,n,,Musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1412,1812,12/31,Thurs,n,P3C2,"Adolph & Clara, ou Les deux prisonniers",Saint-Philippe,1/1/1813,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,1808,5/14,Sat,n,"P3C1,P3C2",Alexis ou L'Erreur d'un bon Père,Saint-Pierre,5/17/1808,2,,Opéra Nouveau,,y,Mr. Vallois,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
836,1808,6/29,Wed,n,"P3C3,P3C2",Alexis ou L'Erreur d'un bon Père,Saint-Pierre,6/30/1808,2,,Opéra Nouveau,,y,Mr. Vallois,musique de Daleyrac,,,,"M. Vallois, Maître de musique",,,,,,,,,,,,,,,,,,
844,1808,7/27,Wed,n,P3C1,Alexis ou L'Erreur d'un bon Père,Saint-Pierre,7/28/1808,2,,Opéra Nouveau,,n,,,,,,,,,,,,,,,,,,,,,,,,
845,1808,7/30,Sat,n,"P3C1,P3C3",Alexis ou L'Erreur d'un bon Père,Saint-Pierre,7/31/1808,2,,Opéra Nouveau,,n,,,,,,seconde représentation,,,,,,,,,,,,,,,,,,
849,1808,8/13,Sat,n,"P2C4,P2C3",Alexis ou L'Erreur d'un bon Père,Saint-Pierre,8/14/1808,2,,opéra,2,y,Mr. St.-Just,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
864,1808,10/5,Wed,n,P3C2,Alexis ou L'Erreur d'un bon Père,Saint-Pierre,10/6/1808,2,Daleyrac,opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
902,1809,2/15,Wed,y,P1C1,Alexis ou L'Erreur d'un bon Père,Saint-Pierre,2/16/1809,,,opéra,,n,,,,,,,,,,,,,,,,,,,,,,,,
969,1809,10/7,Sat,n,P3C2,Alexis ou L'Erreur d'un bon Père,Saint-Pierre,10/8/1809,1,,opéra,1,n,,musique de Daleyrac,,,,"""Pour l'Overture (Abonnement Suspendu)"" / opening originally scheduled for 10/1",,,,,,,,,,,,,,,,,,
1239,1811,11/21,Thurs,,P2C4,Alexis ou L'Erreur d'un bon Père,Saint-Philippe,11/21/1811,2,,Opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1151,1811,4/30,Tues,n,P3C2,"Alexis, ou L'Erreur d'un Bon Père",Saint-Philippe,4/30/1811,1,,opéra,1,y,Mlle. Eugénie Fleury,musique de Daleyrac,,,,"""Abonnement suspendu""",,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,1806,1/1,Wed,,,Azémia ou les Sauvages,Saint-Pierre,1/2/1806,2,,opéra,3,,,musique de Dalayrac,,,,orné de tout son spectacle,,,,,,,,,,,,,,,,,,
759,1807,10/3,Sat,n,P2C3,Azémia ou les Sauvages,Saint-Pierre,10/4/1807,2,,Opéra,3,n,,musique de Daleyrac,M. St. Martin,n,d'Alvar,"M. St. Martin's debut, ""venant de Philadelphie""",,,,,,,,,,,,,,,,,,
805,1808,3/12,Sat,n,"P3C2,P3C1",Azémia ou les Sauvages,Saint-Pierre,3/13/1808,2,,Opéra,3,n,,musique de Daleyrac,Mr. St.-Martin,n,la principal entrée,"listed as ""Azemia ou Les Sauvages""; orné de son ballet, dans lequel M. St-Martin exécutera la principale entrée",,,,,,,,,,,,,,,,,,
821,1808,5/7,Sat,n,"P3C2,P3C3",Azémia ou les Sauvages,Saint-Pierre,5/8/1808,1,,opéra,3,n,,"musique de Daleyrac, ",,,,M. St.-Martin exécutera une entrée principale dans le danse des Sauvages,,,,,,,,,,,,,,,,,,
915,1809,4/1,Sat,n,P3C3,Azémia ou les Sauvages,Saint-Pierre,4/4/1809,,,opéra,3,y,Mr. Richard,musique de Daleyrac,,,,"listed as ""Azemia ou Les Sauvages""",,,,,,,,,,,,,,,,,,
916,1809,4/5,Wed,n,P3C4,Azémia ou les Sauvages,Saint-Pierre,4/5/1809,,,opéra,3,y,Mr. Richard,musique de Daleyrac,,,,"listed as ""Azemia ou Les Sauvages""",,,,,,,,,,,,,,,,,,
975,1809,10/28,Sat,n,P3C1,Azémia ou les Sauvages,Saint-Philippe,10/29/1809,2,,opéra,3,n,,,Mr. Stanislas,n,Edoin,"The actor's name is hard to read again, but they are listed as a ""nouvellement arrivé en cette ville"" and this is their ""premier début""",,,,,,,,,,,,,,,,,,
1020,1810,4/4,Wed,n,P3C3,Azémia ou les Sauvages,Saint-Pierre,4/5/1810,2,,opéra,3,n,,"musique de Daleyrac, M. Duperon fils en qualité d'amateur dansera un pas feul dans le premier act de l'Opéra",M. St. Martin,n,Alvares,"M. St. Martin's ""return"" (rentrée)",,,,,,,,,,,,,,,,,,
1021,1810,4/7,Sat,n,P3C4,Azémia ou les Sauvages,Saint-Pierre,4/8/1810,2,,opéra,3,n,,musique de Daleyrac,M. St. Martin,n,Alvar,"; the ad for this show is identical, but the first play has changed, and there is no mention of the special dance at the beginning; I think that it is possible that this played twice in a short amount of time, keeping this perf",,,,,,,,,,,,,,,,,,
1074,1810,10/10,Wed,n,P3C3,Azémia ou les Sauvages,Saint-Pierre,10/11/1810,2,,opéra,3,y,M. St.-Martin,,"M. Dupéron (fils), M. St.-Juste","y, n",les sauvages (dancing debut for both),"This time listed with both titles rather than only as the primary title, ",,,,,,,,,,,,,,,,,,
1146,1811,4/18,Thurs,n,P3C2,Azémia ou les Sauvages,Saint-Philippe,4/18/1811,2,,opéra,3,n,,musique de Daleyrac,Mr. Tessier,n,Fabrice,"M. Tessier also dances ""le Pas seul du premier acte""",,,,,,,,,,,,,,,,,,
,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,1806,8/27,Wed,,,Deux petits Savoyards,Saint-Pierre,8/28/1806,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,1807,4/22,Wed,n,P3C1,Deux Petits Savoyards,Saint-Pierre,4/23/1807,2,,Opéra,,n,,,Mm. Josephine,n,Michel,,,,,,,,,,,,,,,,,,,
806,1808,3/16,Wed,n,"P3C2,P3C1",Deux Petits Savoyards,Saint-Philippe,1/16/1808,2,,Opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
878,1808,11/23,Wed,n,P3C3,Deux Petits Savoyards,Saint-Pierre,11/24/1808,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
991,1809,12/23,Sat,n,P3C1,Deux Petits Savoyards,Saint-Pierre,12/24/1809,2,,opéra,1,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
1079,1810,10/27,Sat,n,P2C4,Deux Petits Savoyards,Saint-Pierre,10/28/1810,2,,opéra,2,n,,musique de Daleyrac,,,,"Contains typo of ""opéra"" as ""oépra""",,,,,,,,,,,,,,,,,,
1269,1812,1/30,Thurs,n,P3C1,Deux petits Savoyards,Saint-Philippe,1/30/1812,2,,opéra,1,n,,musique de Daleyrac,Mdme Moisson,,Josette,premier début de mme Moisson,,,,,,,,,,,,,,,,,,
1400,1812,12/3,Thurs,n,P3C4,Deux petits Savoyards,Saint-Philippe,12/3/1812,2,,opéra,1,y,le petit Dely Douvillier,,les deux enfants de Mlle. Laurette (age 6 and 7),n,les deux principaux rôles,,,,,,,,,,,,,,,,,,,
1411,1812,12/29,Tues,n,P3C3,Deux petits Savoyards,Saint-Philippe,12/29/1812,1,,opéra,1,y,Mlle Laurette Fleury,,,,,"ad spans 2 columns; les deux enfans de Mlle. Laurette, l'un de six ans, & l'autre de sept ans et demi, rempliront les deux principaux rôles; oncludes full cast list",,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,1806,6/4,Wed,,,"Félix, ou l'enfant trouvé",Saint-Pierre,6/5/1806,2,,opéra,3,,,,Clairville,,Félix,débuts de Clairville,,,,,,,,,,,,,,,,,,
718,1807,5/13,Wed,n,P3C1,"Félix, ou l'enfant trouvé",Saint-Pierre,5/14/1807,2,,opéra,3,,,,,,,,,,,,,,,,,,,,,,,,,
778,1807,12/9,Wed,n,P2C3,"Félix, ou l'enfant trouvé",Saint-Pierre,12/9/1807,2,,Opéra,3,n,,musique de Monsigny,,,,première,,,,,,,,,,,,,,,,,,
779,1807,12/12,Sat,n,P3C4,"Félix, ou l'enfant trouvé",Saint-Pierre,12/13/1807,2,,Opéra,3,n,,musique de Monsigny,,,,"listed as ""Felix ou l'Enfant trouvé""",,,,,,,,,,,,,,,,,,
790,1808,1/20,Wed,n,P3C4,"Félix, ou l'enfant trouvé",Saint-Pierre,1/22/1808,2,,opéra,3,n,,,,,,,,,,,,,,,,,,,,,,,,
793,1808,1/30,Sat,n,"P3C1,P2C4","Félix, ou l'enfant trouvé",Saint-Pierre,1/31/1808,2,,Opéra,3,n,,musique de Monsigny,,,,"listed as ""Felix ou l'Enfant trouvé""",,,,,,,,,,,,,,,,,,
830,1808,6/8,Wed,n,P3C1,"Félix, ou l'enfant trouvé",Saint-Pierre,6/9/1808,2,,opéra,3,n,,musique de Monsigny,,,,,,,,,,,,,,,,,,,,,,
1117,1811,2/9,Sat,n,P3C2,"Félix, ou l'enfant trouvé",Saint-Philippe,2/10/1811,2,,opéra,3,n,,musique de Monsigny,,,,,,,,,,,,,,,,,,,,,,
